identifier 0
constant 1
char 2
int 3
while 4
else 5
if 6
main 7
read 8
write 9
+ 10
- 11
* 12
/ 13
% 14
# 15
; 16
{ 17
} 18
( 19
) 20
[ 21
] 22
< 23
> 24
= 25
